ISIC Rev 5 Code (with Section),ISIC Rev 5 Code,ISIC Rev 5 Title,ISIC Rev 5 Introductory Text,ISIC Rev 5 Includes,ISIC Rev 5 Includes Also,ISIC Rev 5 Excludes
O8240,8240,"Intermediation service activities for business support activities n.e.c., except financial intermediation",,"This class includes the intermediation service activities for business support activities n.e.c. This class includes units that bring clients and service providers together for a fee or commission. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face including door-to-door, phone, mail, etc.). The fee or commission can be received from either the client or the provider of the  service. Revenue for the intermediation activities can include other sources of income, such as revenues from advertising.","This class also includes:
-ticket reservation and sales activities for theatrical, sports and other amusement and entertainment events","This class excludes:
-	activities of brokers and agents for electric power and natural gas, see 354
-	intermediation service activities for specialised construction services, see 434 
-	wholesale trade on a contract or fee basis, see 461
-	intermediation service activities for retail sale, see 4790
-	intermediation service activities for transportation, see 523 
-	intermediation service activities for postal and courier activities, see 5330
-	intermediation service activities for accommodation, see 5540
-	intermediation service activities for food and beverage services activities, see 5640
-	intermediation service activities for software publishing, see 582
-	intermediation service activities for telecommunications activities, see 6120 
-	financial and insurance intermediation service activities, see section L intermediation service activities for real estate activities, see 6821
-	patent brokering (marketing) service activities, see 7491
-	intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets, see 775
-	travel agency activities, see 7911
-	intermediation service activities for courses and tutors, see 8561
-	intermediation service activities for medical, dental and other health services, see 8691
-	intermediation service activities for residential care activities, see 8791
-	intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles, see 9540 
-	intermediation service activities for personal services, see 9640"
O829,829,Business support service activities n.e.c.,,"This group includes the activities of collection agencies, credit bureaus, business information agencies and all support activities not elsewhere classified. The activities are predominately provided to businesses. ",,
O8291,8291,Activities of collection agencies and credit bureaus,,"This class includes:
-	collection of payments for claims and remittance of payments collected to the clients, such as bill or debt collection services 
-	compiling and provision of information, such as credit or employment history, to financial institutions, retailers and others who have a need to evaluate the creditworthiness of individuals or businesses ","This class also includes:
- activities of rating agencies
- activities of repossession of property","This class excludes:
- factoring activities, see 649"
O8292,8292,Packaging activities,,"This class includes:
-	packaging activities on a fee or contract basis, whether or not these involve an automated process:
•	bottling of liquids, including beverages and food
•	packaging of solids (blister packaging, foil-covered etc.)
•	security packaging of pharmaceutical preparations
•	labelling, stamping and imprinting
•	parcel-packing and gift-wrapping
-	product sterilisation associated with packaging",,"This class excludes:
-	manufacture of soft drinks and production of mineral water, see 1105
-	packaging activities incidental to transport, see 5229"
O8299,8299,Other business support service activities n.e.c.,,"This class includes:
-	fundraising organisation services on a contract or fee basis 
-	court reporting or stenotype recording services
-	public stenography services
-	real-time (i.e. simultaneous) closed captioning of meetings, conferences
-	bar coding services
-	bar code imprinting services
-	repossession services
-	parking meter coin collection services
-	activities of handling visa and work permit
-	restaurant voucher handling service activities
-	providing assistance in motor vehicle registration
-	relocation service activities
-	leisure activities gift package administration
-	voucher issuing and handling activities
-	donation-based crowd funding
-	trading and brokerage of crypto assets without a corresponding liability (not by a monetary authority)
-	company domiciliation services
-	reading of consumption of heat and hot water including cost allocation
-	activities of independent auctioneers
-	administration of loyalty programmes
-	selling of travel boxes: form of distribution of a service linked to travel, but a deferred service, which can be of any nature: hotels, restaurants, care, leisure activities, etc.)",,"This class excludes:
-	providing film or tape captioning or subtitling services, see 5912 
-	trading and brokerage of crypto assets with a corresponding liability, see 6612
-	activities of shared service centres (SSC) with two or more combined activities (set of administrative services) providing operational tasks for the whole enterprise or group, e.g. reception, financial planning, billing and record keeping, personnel and mail services for the same enterprise group, see 8210
-	provision of document transcription services, see 8210
-	activities of shared service centres (SSC) with strategic and managerial activities/centralised activities, see 7010
-	managing administrative practices and digital consultancy services, see 7020
-	intermediation service activities for business support service activities n.e.c., see 8240
-	fund-raising aimed at social work, see 8890"
P,P,Public administration and defence; compulsory social security,,"This section includes activities of a governmental nature, normally carried out by the public administration. This includes the enactment and judicial interpretation of laws and their pursuant regulation, as well as the administration of programmes based on them, legislative activities, taxation, national defence, public order and safety, immigration services, foreign affairs and the administration of government programmes. 
	
	The legal or institutional status is not, in itself, the determining factor for an activity to belong in this section, rather than the activity being of a nature specified in the previous paragraph. This means that activities classified elsewhere in ISIC do not fall under this section, even if carried out by public entities. For example, administration of the school system (i.e. regulations, checks, curricula) falls under this section, but teaching itself does not (see section Q), and a prison or military hospital is classified to health (see section R). Similarly, some activities described in this section may be carried out by non-government units.",This section also includes compulsory social security activities.,
P84,84,Public administration and defence; compulsory social security,See section P,,,
P841,841,"Administration of the State and the economic, social and environmental policies of the community",,"This group includes general administration (e.g. executive, legislative, financial administration etc. at all levels of government) and supervision in the field of social, economic and environmental policy of the community.",,
P8411,8411,General public administration activities,,"This class includes:
- executive and legislative administration of central, regional and local bodies
	- public general administration at national and regional level 
	- administration and supervision of fiscal affairs:
	  • operation of taxation schemes
	  • duty/tax collection on goods and tax violation investigation
	  • customs administration
	- budget implementation and management of public funds and public debt:
	  • raising and receiving of money and control of their disbursement
	- administration of overall (civil) research and development policy and associated funds
	- administration and operation of overall economic and social planning and statistical services at the 
	various levels of government",,"This class excludes:
- central banking, see 6411
	
- administration of research and development policies intended to increase personal well-being and of associated funds, see 8412
- administration of research and development policies intended to improve economic performance and competitiveness, see 8412
- administration of defence-related research and development policies and of associated funds, see 8422
- operation of government archives, see 9112"
P8412,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security and environment",,"This class includes:
- public administration of programmes aimed to increase personal well-being, e.g.:
  • health
  • education
  • culture
  • sport
  • recreation
  • housing
  • social services
- public administration of research and development policies and associated funds for these areas","This class also includes: 
- public sponsoring of recreational and cultural activities
- distribution of public grants to artists
- administration of housing programmes","This class excludes: 
- compulsory social security activities, see 8430
- education activities, see section Q
- human health-related activities, see division 86
- operation of museums and other cultural institutions, see division 91
- activities of libraries and archives (private, public or government operated), see 911
- sporting or other recreational activities, see division 93"
